BROKERTITLE,TYPE, PRICE ,BEDS,BATH,PROPERTYSQFT,ADDRESS,Neighborhood/Boroughs,State,Zipcode,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,Buyer_FirstNames,Buyer_LastName,Buyer_Email,Buyer_Phone,Buyer_STREET,Buyer_UNIT,Buyer_CITY,Buyer_DISTRICT,Buyer_REGION,Buyer_Zipcode,Buyer_budget,Seller_FirstNames,Seller_LastNames,Seller_Email,Seller_Phone,Seller_STREET,Seller_UNIT,Seller_CITY,Seller_DISTRICT,Seller_REGION,Seller_Zipcode,Employee_Lastnames,Employee_Firstnames,Employees_phone,Employees_email,Start_date,Position, Salary , Commission ,Appointment_Date,Appointment_Time,Attendence,Property_id,Date_post,Property_status,Transaction_id,Transaction_date,Payment_status,Rating
Engel & Volkers Americas,Co-op,"375,000.00",2,1,850,800 Grand Concourse Apt 2JS,Bronx,NY,10451,New York,Bronx County,The Bronx,Concourse Village,800,"800 Grand Concourse #2j, Bronx, NY 10451, USA",40.8248699,-73.9229829,Carrillo-Mireles, Amanda,carrillomirelesamanda@example.com,824-717-0242,Pheasant Run Apartments,,New Scotland,Albany,NY,12186,420000,Bowman, Cameron,bowmancameron@example.com,681-604-0804,South Third Street,Apartment 2,Hudson,Columbia,NY,12534,Morrison, Jordan,573-561-9976,morrisonjordan@example.com,5/6/21,Real Estate Advisor,"50,000.00","18,750.00",9/16/11,10:52:56 AM,TRUE,11,12/28/10,Under Contract,11,4/2/16,Completed,2
Re/Max Edge,Townhouse,"689,000.00",3,2,1162,456 Van Name Ave,Staten Island,NY,10303,United States,New York,Richmond County,Staten Island,Van Name Avenue,"456 Van Name Ave, Staten Island, NY 10303, USA",40.6249962,-74.1553058,Nguyen, Sienna,nguyensienna@example.com,127-764-6532,Southern Pine Circle,,Greece,Monroe,NY,14612,713000,Myers, Herberto,myersherberto@example.com,122-918-7342,County Road 16,,Birdsall,Allegany,NY,14822,Shurmantine, Lauren,864-194-6069,shurmantinelauren@example.com,11/23/21,Real Estate Advisor,"103,498.00","34,450.00",12/24/16,9:01:08 AM,TRUE,12,12/22/09,Pending,12,11/24/17,Completed,2
COMPASS,Co-op,"259,000.00",3,1,2184.207862,34-41 85th St Unit 1D,Jackson Heights,NY,11372,New York,Queens County,Queens,Flushing,34-41,"34-41 85th St #1b, Flushing, NY 11372, USA",40.7531191,-73.8818757,Quinones-Ortiz, Brenda,quinonesortizbrenda@example.com,096-689-6572,Central Avenue,,Cortland,Cortland,NY,13045,269000,Williams, Yana,williamsyana@example.com,190-647-9939,Yates Avenue,,Ossining,Westchester,NY,10562,al-Toure, Nadheera,801-913-9560,altourenadheera@example.com,8/6/17,Buyer Agent,"250,000.00","12,950.00",7/20/10,3:33:45 PM,TRUE,13,12/24/05,Under Contract,13,4/29/14,Completed,3
Jamie & Connie Real Estate Grp,Co-op,"430,000.00",2,2,2184.207862,91-15 Lamont Ave Unit 6D,Elmhurst,NY,11373,New York,Queens County,Queens,Elmhurst,91-15,"91-15 Lamont Ave #6d, Elmhurst, NY 11373, USA",40.7438639,-73.8745722,Lee, Tyler,leetyler@example.com,102-048-7420,Shepherd Place,,Utica,Oneida,NY,13502,434000,Tran, Dillon,trandillon@example.com,096-049-4185,Woodhull Road,,Forestport,Oneida,NY,13338,Liang, Kimberly,802-956-3910,liangkimberly@example.com,8/3/15,Real Estate Advisor,"151,012.00","21,500.00",9/13/17,4:37:29 PM,FALSE,14,8/5/17,Sold,14,9/22/17,Completed,5
Corcoran Chelsea/Flatiron,Co-op,"895,000.00",3,1,2184.207862,61 Jane St Apt 6N,New York,NY,10014,New York,New York County,New York,Manhattan,61,"61 Jane St #6n, New York, NY 10014, USA",40.7382981,-74.0058899,Aashiq, Stephani,aashiqstephani@example.com,149-364-1673,Delton Street,,Tonawanda,Erie,NY,14150,845000,Robinson, Geoffrey,robinsongeoffrey@example.com,154-828-1524,Raymond Avenue,,Cheektowaga,Erie,NY,14227,al-Moustafa, Abdullah,967-363-2700,almoustafaabdullah@example.com,7/13/22,Lead Negotiator,"70,679.00","44,750.00",1/11/17,10:37:49 AM,FALSE,15,10/1/12,Sold,15,8/31/19,Completed,5
Awaye Realty,Condo,"549,000.00",2,2,1000,4654 Amboy Rd Unit 2B,Staten Island,NY,10312,New York,Richmond County,Staten Island,Annadale,4654,"4654 Amboy Rd #2b, Staten Island, NY 10312, USA",40.5406209,-74.1671632,Montes, Kevin,monteskevin@example.com,099-624-6582,Randy Lane,,Oyster Bay,Nassau,NY,11803,647000,Kwak, Arbaz,kwakarbaz@example.com,706-304-3697,7th Street,Apartment 1,Niagara Falls,Niagara,NY,14301,Ventura, Carrena,908-270-9971,venturacarrena@example.com,9/7/22,Buyer Agent,"119,697.00","27,450.00",12/30/13,12:47:07 PM,FALSE,16,11/18/13,Withdrawn,16,1/18/18,Canceled,3
Realty Executives Today,Townhouse,"975,000.00",3,2,1734,28-31 Hobart St,Woodside,NY,11377,United States,New York,Queens County,Queens,Hobart Street,"28-31 Hobart St, Flushing, NY 11377, USA",40.7607676,-73.9056672,el-Rehmann, Hazeela,elrehmannhazeela@example.com,350-734-3866,Port Watson Street,Apartment 11003,Cortland,Cortland,NY,13045,1020000,Benisrael, Alexandra,benisraelalexandra@example.com,166-913-1964,Harvey Avenue,,Hempstead,Nassau,NY,11572,Begay, Levi,290-986-9531,begaylevi@example.com,7/5/23,Lead Negotiator,"250,000.00","48,750.00",3/28/19,9:08:58 AM,TRUE,17,7/31/18,Sold,17,7/6/20,Completed,5
Dorsa Group Realty,Co-op,"199,000.00",3,1,325,9430 Ridge Blvd Apt 6D,Brooklyn,NY,11209,New York,Kings County,Brooklyn,Fort Hamilton,9430,"9430 Ridge Blvd #6d, Brooklyn, NY 11209, USA",40.6181029,-74.0369047,Liang, Brandon,liangbrandon@example.com,636-772-2874,United States Route 11,Lot 9S,Watertown,Jefferson,NY,13601,159000,Rubio, Lindsey,rubiolindsey@example.com,634-118-0661,Fall Creek Road,Apartment 2,Dryden,Tompkins,NY,13068,el-Sayed, Israa,547-855-8940,elsayedisraa@example.com,1/16/21,Real Estate Advisor,"62,465.00","9,950.00",5/28/18,3:04:57 PM,TRUE,18,7/19/12,Active,18,8/24/20,Completed,2
Coldwell Banker Realty,Co-op,"350,000.00",1,1,700,5800 Arlington Ave Apt 21A,Bronx,NY,10471,New York,Bronx County,The Bronx,North Riverdale,5800,"5800 Arlington Ave Apt 21s, Bronx, NY 10471, USA",40.9073699,-73.9065578,Krien, Lucas,krienlucas@example.com,320-166-2485,Hillside Avenue,Apartment 103,Niskayuna,Schenectady,NY,12309,374000,Rosko, Clinton,roskoclinton@example.com,549-572-5385,Taber Street,,Ithaca,Tompkins,NY,14850,Zyzda, Taylor,848-891-8671,zyzdataylor@example.com,7/12/21,Lead Negotiator,"136,130.00","17,500.00",2/7/21,3:49:16 PM,TRUE,19,7/22/13,Under Contract,19,5/19/21,Completed,3
Keller Williams Rlty Landmark,Condo,"599,000.00",2,2,974,92-29 Queens Blvd Unit 3H,Rego Park,NY,11374,New York,Queens County,Queens,Rego Park,92-29,"92-29 Queens Blvd #3h, Rego Park, NY 11374, USA",40.7324713,-73.8670804,al-Amara, Raaji,alamararaaji@example.com,321-933-9543,Route 3,,Plattsburgh,Clinton,NY,12962,570000,Franzen, Katherine,franzenkatherine@example.com,236-853-5783,Whalers Cove,,Babylon,Suffolk,NY,11702,Costello, Porcalynn,554-104-3616,costelloporcalynn@example.com,11/10/19,Listing Specialist,"125,405.00","29,950.00",7/3/14,10:50:47 AM,TRUE,20,1/7/14,Pending,20,7/15/14,Completed,2
Radiant Estates LLC,House,"639,999.00",3,2,1260,27 Clove Way,Staten Island,NY,10301,United States,New York,Richmond County,Staten Island,Clove Way,"27 Clove Way, Staten Island, NY 10301, USA",40.6207403,-74.1114362,Sims-Cummings, Dashaun,simscummingsdashaun@example.com,723-087-8895,Bradford Street,Apartment 3,Harrison,Westchester,NY,10528,571000,Chinchilla, Selena,chinchillaselena@example.com,170-403-3649,Slaterville Road,,Caroline,Tompkins,NY,14850,Ahlenius, Charles,225-241-8911,ahleniuscharles@example.com,4/23/23,Buyer Agent,"72,524.00","31,999.95",10/24/21,10:14:59 AM,TRUE,21,10/4/21,Active,21,11/19/22,Completed,3
"Apaus, Inc",Condo,"1,300,000.00",2,2,1244,10724 71st Rd Apt 9F,Forest Hills,NY,11375,New York,Queens County,Queens,Forest Hills,10724,"10724 71st Rd #9f, Forest Hills, NY 11375, USA",40.7202429,-73.8430513,Baker, Marissa,bakermarissa@example.com,137-019-2708,Cartwheel Court,Apartment 23,Blooming Grove,Orange,NY,10992,1270000,Carpenter, Reece,carpenterreece@example.com,048-639-7634,Walck Drive,,Wheatfield,Niagara,NY,14120,al-Salehi, Saalim,718-548-9370,alsalehisaalim@example.com,8/1/15,Real Estate Advisor,"83,702.00","65,000.00",12/31/19,11:31:14 AM,TRUE,22,10/25/19,Pending,22,7/4/20,Completed,3
Keller Williams Ny Realty,Multi-family,"1,100,000.00",6,3,2837,1038 Throggs Neck Expy Unit Sr,Bronx,NY,10465,United States,New York,Bronx County,The Bronx,Throgs Neck Expressway,"1038 Throgs Neck Expy, Bronx, NY 10465, USA",40.8343936,-73.8221101,Bui, Taku,buitaku@example.com,099-762-0308,North Clinton Avenue,,Rochester,Monroe,NY,14621,987000,Smith, Eugene,smitheugene@example.com,565-882-7350,Saratoga Road,,Amherst,Erie,NY,14226,Martinez, Connor,625-968-7818,martinezconnor@example.com,1/27/19,Sales Associate,"134,766.00","55,000.00",10/2/15,11:15:33 AM,FALSE,23,3/23/15,Under Contract,23,10/6/18,Completed,3
Martino Realty Group,Condo,"349,900.00",1,1,651,165 Cromwell Ave Apt 2B,Staten Island,NY,10304,New York,Richmond County,Staten Island,Dongan Hills,165,"165 Cromwell Ave #2b, Staten Island, NY 10304, USA",40.5902064,-74.0958034,Mix, Torrey,mixtorrey@example.com,110-857-5256,Pinehurst Place,,Schenectady,Schenectady,NY,12304,324000,Park, Ohdomm,parkohdomm@example.com,011-893-4979,Pleasant Road,,Putnam Valley,Putnam,NY,10537,Schipper, Sophearath,848-454-5228,schippersophearath@example.com,12/30/15,Buyer Agent,"78,338.00","17,495.00",4/19/12,10:09:27 AM,FALSE,24,3/20/11,Active,24,2/25/21,Completed,3
Elizabeth Marra,House,"750,000.00",2,2,1330,280 Loretto St,Staten Island,NY,10307,United States,New York,Richmond County,Staten Island,Loretto Street,"280 Loretto St, Staten Island, NY 10307, USA",40.5039785,-74.2396555,al-Hussain, Abbaad,alhussainabbaad@example.com,413-083-8090,Martinson Lane,,Oxford,Chenango,NY,13830,703000,Xiong, Savannah,xiongsavannah@example.com,129-397-1458,Jersey Avenue,Apartment A205,Port Jervis,Orange,NY,12771,Macias, Kedwin,965-103-5203,maciaskedwin@example.com,10/9/20,Lead Negotiator,"60,972.00","37,500.00",1/11/18,4:37:00 PM,TRUE,25,1/6/18,Sold,25,6/8/18,Completed,5
CENTURY 21 Milestone Realty,Multi-family,"1,690,000.00",6,4,2200,149-07 85 Rd,Briarwood,NY,11435,United States,New York,Queens County,Queens,85th Road,"149-07 85th Rd, Jamaica, NY 11435, USA",40.710749,-73.809486,Madlock, Demetrice,madlockdemetrice@example.com,194-874-6490,Westwood Drive,,Newburgh,Orange,NY,12550,1400000,Cremer, Brian,cremerbrian@example.com,086-753-8561,North Main Street,Apartment 2,Jamestown,Chautauqua,NY,14701,Vogltanz, D'Ahnya,410-134-8862,vogltanzdahnya@example.com,4/13/17,Listing Specialist,"50,000.00","84,500.00",1/24/17,2:54:01 PM,TRUE,26,1/18/15,Pending,26,5/28/17,Completed,3
"Nest Seekers International, Long Island",Co-op,"325,000.00",1,1,2184.207862,35-45 81st St Unit E1,Queens,NY,11372,New York,Queens County,Queens,Jackson Heights,35-45,"35-45 81st St e1, Jackson Heights, NY 11372, USA",40.7505078,-73.8851355,al-Yousef, Husniyya,alyousefhusniyya@example.com,145-636-4997,Concord Avenue,,Oyster Bay,Nassau,NY,11714,352000,Haasenritter, Anna,haasenritteranna@example.com,409-445-9707,Indian Trail,,Montgomery,Orange,NY,12543,el-Sultan, Sundus,789-337-5761,elsultansundus@example.com,12/18/21,Listing Specialist,"100,967.00","16,250.00",10/14/08,3:52:49 PM,FALSE,27,9/11/06,Pending,27,11/24/10,Completed,3
Century 21 Realty First,Multi-family,"2,250,000.00",12,2,5670,2361 81st St,Brooklyn,NY,11214,11214,United States,New York,Kings County,81st Street,"2361 81st St, Brooklyn, NY 11214, USA",40.602654,-73.9869399,Wakasugi, Jenny,wakasugijenny@example.com,456-120-3904,Krieger Road,Unit A,Webster,Monroe,NY,14580,2280000,Brazee, Brandon,brazeebrandon@example.com,453-506-8731,Forest Avenue,,Mamaroneck,Westchester,NY,10538,Fifita, Jun,792-309-1827,fifitajun@example.com,11/23/19,Real Estate Advisor,"76,555.00","112,500.00",9/4/16,11:12:40 AM,TRUE,28,12/29/09,Withdrawn,28,6/18/17,Canceled,3
Du Chris Realty,Co-op,"230,000.00",1,1,2184.207862,33-24 Junction Blvd Unit 6R,Jackson Heights,NY,11372,United States,New York,Queens County,Queens,Junction Boulevard,"33-24 Junction Blvd, Jackson Heights, NY 11372, USA",40.7557689,-73.8734231,Dou, Shane,doushane@example.com,301-887-7954,East Boulevard,,Gloversville,Fulton,NY,12078,203000,al-Nawaz, Safar,alnawazsafar@example.com,177-923-4092,West Main Street,,Cambridge,Washington,NY,12816,Craft, Aidan,754-877-7510,craftaidan@example.com,8/7/18,Buyer Agent,"59,420.00","11,500.00",12/25/21,4:34:07 PM,TRUE,29,7/28/19,Under Contract,29,3/26/22,Completed,3
Ashford Homes,Multi-family,"1,299,888.00",10,6,3156,310-312 Hillside Ave,Staten Island,NY,10304,New York,Richmond County,Staten Island,Clifton,310,"310 Hillside Ave #312, Staten Island, NY 10304, USA",40.6155667,-74.0869554,Mcbroom, Zvi,mcbroomzvi@example.com,157-505-6631,State Route 415,,Bath,Steuben,NY,14810,1460000,Casillas Jimenez, Andrew,casillasjimenezandrew@example.com,438-796-5687,Chautauqua Avenue,,North Harmony,Chautauqua,NY,14710,el-Muhammed, Sanaaa,572-623-7613,elmuhammedsanaaa@example.com,6/16/17,Sales Associate,"92,139.00","64,994.40",10/5/18,12:27:29 PM,TRUE,30,11/25/09,Active,30,10/26/19,Completed,3
,Multi-family,"925,000.00",5,2,2750,543 Hollywood Ave,Bronx,NY,10465,United States,New York,Bronx County,The Bronx,Hollywood Avenue,"543 Hollywood Ave, Bronx, NY 10465, USA",40.8242389,-73.8173809,al-Mahdi, Jawaad,almahdijawaad@example.com,043-090-2389,Crotona Avenue,,Harrison,Westchester,NY,10528,964000,Kim, Alexander,kimalexander@example.com,688-564-7653,Aldrich Street,,Persia,Cattaraugus,NY,14070,Craveiro, Lexy,342-739-8541,craveirolexy@example.com,8/7/21,Buyer Agent,"50,000.00","46,250.00",5/30/22,10:21:44 AM,TRUE,31,11/5/21,Sold,31,11/10/22,Completed,4
Get Listed Get Sold NYC,Condo,"329,000.00",1,2,794,47 Lynn Ct,Staten Island,NY,10314,United States,New York,Richmond County,Staten Island,Lynn Court,"47 Lynn Ct, Staten Island, NY 10314, USA",40.6210398,-74.1504313,Garcia, Camela,garciacamela@example.com,685-192-4693,Michigan Avenue,Apartment 205,Buffalo,Erie,NY,14203,319000,Diaz, Kameron,diazkameron@example.com,383-711-5542,North Madison Street,,Rome,Oneida,NY,13440,Upschulte, Micah,743-531-1776,upschultemicah@example.com,6/10/15,Buyer Agent,"50,000.00","16,450.00",4/6/07,3:47:45 PM,TRUE,32,2/1/07,Withdrawn,32,2/23/08,Canceled,2
RJM Realty Empire Inc.,Multi-family,"1,300,000.00",10,8,5040,366 Union Ave Unit 4,Staten Island,NY,10303,New York,Richmond County,Staten Island,Mariners Harbor,366,"366 Union Ave #4, Staten Island, NY 10303, USA",40.6274381,-74.1581613,Hileman, Orlando,hilemanorlando@example.com,086-514-5745,Niagara Avenue,Apartment 1003,Niagara Falls,Niagara,NY,14305,1410000,Clark, Brooke,clarkbrooke@example.com,146-886-3425,South Broadway,Apartment 2F,Greenburgh,Westchester,NY,10591,Moreland, Cherokee,689-870-2716,morelandcherokee@example.com,1/29/16,Buyer Agent,"240,058.00","65,000.00",4/2/20,12:40:33 PM,FALSE,33,11/22/14,Active,33,1/7/22,Completed,3
RE MAX Edge,Multi-family,"848,000.00",5,4,2080,544 Hinsdale St,Brooklyn,NY,11207,United States,New York,Kings County,Brooklyn,Hinsdale Street,"544 Hinsdale St, Brooklyn, NY 11207, USA",40.6615475,-73.898309,el-Majeed, Tayyiba,elmajeedtayyiba@example.com,102-152-6247,United States Highway 11,,Stockholm,St Lawrence,NY,13676,922000,al-Samra, Rawda,alsamrarawda@example.com,010-386-7212,Jeanatta Avenue,,Brookhaven,Suffolk,NY,11950,al-Murad, Zainab,820-381-2385,almuradzainab@example.com,12/23/16,Listing Specialist,"50,000.00","42,400.00",1/1/06,1:53:18 PM,FALSE,34,7/5/05,Pending,34,5/12/06,Completed,2
H P Greenfield Real Estate Ltd,Co-op,"279,000.00",1,1,750,1801 Ocean Ave Apt 4A,Brooklyn,NY,11230,New York,Kings County,Brooklyn,Midwood,1801,"1801 Ocean Ave #4a, Brooklyn, NY 11230, USA",40.6179165,-73.9546305,Stonestreet, Shawna,stonestreetshawna@example.com,830-817-8077,Massachusetts Avenue,,Buffalo,Erie,NY,14213,301000,al-Bari, Hishma,albarihishma@example.com,912-662-2641,Sheree Drive,,Grand Island,Erie,NY,14072,Broadus, Nathan,974-303-3404,broadusnathan@example.com,7/14/17,Sales Associate,"102,993.00","13,950.00",4/26/14,11:36:14 AM,TRUE,35,8/3/08,Active,35,9/8/15,Completed,2
Ashford Homes LLC,Condo,"528,000.00",1,1,602,1238 63rd St Unit 432,Brooklyn,NY,11219,New York,Kings County,Brooklyn,Dyker Heights,1238,"1238 63rd St #432, Brooklyn, NY 11219, USA",40.6275896,-74.0016198,Benally, Damion,benallydamion@example.com,167-615-7186,Second Street,,Cohoes,Albany,NY,12047,564000,Saenz Carrillo, Elijah,saenzcarrilloelijah@example.com,104-899-3006,Oakdale Drive,,Webster,Monroe,NY,14580,el-Saladin, Hasan,222-328-4390,elsaladinhasan@example.com,2/27/15,Listing Specialist,"50,000.00","26,400.00",7/2/22,1:21:23 PM,TRUE,36,5/30/22,Pending,36,9/3/22,Completed,3
Ashford Homes,Multi-family,"1,299,888.00",11,4,3156,310-312 Hillside Ave,Staten Island,NY,10304,New York,Richmond County,Staten Island,Clifton,310,"310 Hillside Ave #312, Staten Island, NY 10304, USA",40.6155667,-74.0869554,Naranjo, Dominique,naranjodominique@example.com,056-195-6130,Mount Read Boulevard,Unit 16,Rochester,Monroe,NY,14615,1370000,Moctezuma, Jonathan,moctezumajonathan@example.com,792-366-2989,Elizabeth Street,,Smithfield,Madison,NY,13408,el-Muhammed, Sanaaa,572-623-7613,elmuhammedsanaaa@example.com,6/16/17,Sales Associate,"92,139.00","64,994.40",9/27/21,2:25:59 PM,TRUE,37,7/26/21,Active,37,11/19/21,Completed,2
E Realty International Corp,Co-op,"275,000.00",1,1,2184.207862,44-55 Kissena Blvd Unit 5F,Flushing,NY,11355,New York,Queens County,Queens,Flushing,44-55,"44-55 Kissena Blvd #5f, Flushing, NY 11355, USA",40.7528774,-73.8211834,Hernandez, Jacob,hernandezjacob@example.com,388-049-6974,Arbutus Drive,,Pompey,Onondaga,NY,13104,273000,Ortiz, Manuel,ortizmanuel@example.com,170-253-7448,West Oak Street,,Oyster Bay,Nassau,NY,11735,Kohnlein, Joshua,508-144-3202,kohnleinjoshua@example.com,4/23/23,Real Estate Advisor,"66,522.00","13,750.00",2/23/05,9:15:41 AM,TRUE,38,2/11/05,Under Contract,38,7/18/16,Completed,2
